"level","family","genus","rn","rn.bl","bn","bn.bl","gen.n","sp.n","taxa"
"F","Aextoxicaceae","","N28462",27.131624,"N28462",27.131624,1,1,"Aextoxicon_punctatum"
"F","Alzateaceae","","N47099",30.887811,"N47099",30.887811,1,1,"Alzatea_verticillata"
"F","Amborellaceae","","N4",139.395598,"N4",139.395598,1,1,"Amborella_trichopoda"
"F","Anemiaceae","","N72399",76.461114,"N72399",76.461114,1,1,"Anemia_phyllitidis"
"F","Aphloiaceae","","N45913",69.673651,"N45913",69.673651,1,1,"Aphloia_theiformis"
"F","Apodanthaceae","","N36409",45.244526,"N36409",45.244526,1,1,"Apodanthes_caseariae"
"F","Asteropeiaceae","","N27756",42.059095,"N27756",42.059095,1,1,"Asteropeia_micraster"
"F","Austrobaileyaceae","","N71134",122.61422,"N71134",122.61422,1,1,"Austrobaileya_scandens"
"F","Barbeuiaceae","","N26100",77.761794,"N26100",77.761794,1,1,"Barbeuia_madagascariensis"
"F","Barbeyaceae","","N35261",60.831944,"N35261",60.831944,1,1,"Barbeya_oleoides"
"F","Bataceae","","N43820",32.635457,"N43820",32.635457,1,1,"Batis_maritima"
"F","Butomaceae","","N68783",63.678972,"N68783",63.678972,1,1,"Butomus_umbellatus"
"F","Cephalotaceae","","N41457",75.577737,"N41457",75.577737,1,1,"Cephalotus_follicularis"
"F","Circaeasteraceae","","N53112",86.334794,"N53112",86.334794,1,1,"Kingdonia_uniflora"
"F","Corsiaceae","","N67060",84.269335,"N67060",84.269335,1,1,"Corsia_dispar"
"F","Ctenolophonaceae","","N39117",87.549135,"N39117",87.549135,1,1,"Ctenolophon_englerianus"
"F","Culcitaceae","","N72374",60.015,"N72374",60.015,1,1,"Culcita_coniifolia"
"F","Curtisiaceae","","N25027",59.397591,"N25027",59.397591,1,1,"Curtisia_dentata"
"F","Cynomoriaceae","","N33178",105.0549,"N33178",105.0549,1,1,"Cynomorium_coccineum"
"F","Cytinaceae","","N44373",38.58316,"N44373",38.58316,1,1,"Cytinus_baronii"
"F","Davalliaceae","","N72129",24.43379871,"N72129",24.43379871,1,1,"Davallia_pyxidata"
"F","Dipteridaceae","","N72440",118.5451428,"N72440",118.5451428,1,1,"Dipteris_conjugata"
"F","Dirachmaceae","","N35261",60.831944,"N35261",60.831944,1,1,"Dirachma_socotrana"
"F","Drosophyllaceae","","N28376",57.934633,"N28376",57.934633,1,1,"Drosophyllum_lusitanicum"
"F","Emblingiaceae","","N42137",63.503418,"N42137",63.503418,1,1,"Emblingia_calceoliflora"
"F","Eucommiaceae","","N21054",43.547103,"N21054",43.547103,1,1,"Eucommia_ulmoides"
"F","Euphroniaceae","","N39167",54.515819,"N39167",54.515819,1,1,"Euphronia_guianensis"
"F","Geissolomataceae","","N45914",51.634151,"N45914",51.634151,1,1,"Geissoloma_marginata"
"F","Gerrardinaceae","","N44578",57.271231,"N44578",57.271231,1,1,"Gerrardina_foliosa"
"F","Ginkgoaceae","","N71738",269.71475,"N71738",269.71475,1,1,"Ginkgo_biloba"
"F","Gomortegaceae","","N70498",78.376352,"N70498",78.376352,1,1,"Gomortega_keule"
"F","Goupiaceae","","N38461",83.071322,"N38461",83.071322,1,1,"Goupia_glabra"
"F","Guamatelaceae","","N45908",25.806242,"N45908",25.806242,1,1,"Guamatela_tuerckheimii"
"F","Halophytaceae","","N25975",38.133667,"N25975",38.133667,1,1,"Halophytum_ameghinoi"
"F","Himantandraceae","","N69881",95.087155,"N69881",95.087155,1,1,"Galbulimima_belgraveana"
"F","Hypodematiaceae","","N72020",67.23728,"N72020",67.23728,1,1,"Hypodematium_crenatum"
"F","Kewaceae","","N26099",77.765313,"N26099",77.765313,1,1,"Kewa_salsoloides"
"F","Koeberliniaceae","","N43818",57.819717,"N43818",57.819717,1,1,"Koeberlinia_spinosa"
"F","Lanariaceae","","N59914",59.378075,"N59914",59.378075,1,1,"Lanaria_lanata"
"F","Limnanthaceae","","N42134",73.308019,"N42134",73.308019,1,1,"Limnanthes_alba"
"F","Lomariopsidaceae","","N72130",40.991842,"N72130",40.991842,1,1,"Lomariopsis_spectabilis"
"F","Lophopyxidaceae","","N39247",59.006024,"N39247",59.006024,1,1,"Lophopyxis_maingayi"
"F","Loxsomataceae","","N72373",88.652,"N72373",88.652,1,1,"Loxsomopsis_pearcei"
"F","Macarthuriaceae","","N26523",80.686585,"N26523",80.686585,1,1,"Macarthuria_australis"
"F","Matoniaceae","","N72440",118.5451428,"N72440",118.5451428,1,1,"Phanerosorus_sarmentosus"
"F","Maundiaceae","","N68576",62.539639,"N68576",62.539639,1,1,"Maundia_triglochinoides"
"F","Mayacaceae","","N62629",77.167973,"N62629",77.167973,1,1,"Mayaca_fluviatilis"
"F","Metaxyaceae","","N72370",78.88833641,"N72370",78.88833641,1,1,"Metaxya_rostrata"
"F","Mitrastemonaceae","","N24629",102.1271935,"N24629",102.1271935,1,1,"Mitrastemon_matudae"
"F","Muntingiaceae","","N44373",38.58316,"N44373",38.58316,1,1,"Muntingia_calabura"
"F","Neuradaceae","","N43855",76.302168,"N43855",76.302168,1,1,"Neurada_procumbens"
"F","Oleandraceae","","N72129",24.43379871,"N72129",24.43379871,1,1,"Oleandra_musifolia"
"F","Oncothecaceae","","N21013",68.350537,"N21013",68.350537,1,1,"Oncotheca_balansae"
"F","Peltantheraceae","","N14615",52.885031,"N14615",52.885031,1,1,"Peltanthera_floribunda"
"F","Pentadiplandraceae","","N43787",55.382411,"N43787",55.382411,1,1,"Pentadiplandra_brazzeana"
"F","Pentaphragmataceae","","N26",78.113244,"N26",78.113244,1,1,"Pentaphragma_ellipticum"
"F","Petenaeaceae","","N44578",57.271231,"N44578",57.271231,1,1,"Petenaea_cordata"
"F","Petermanniaceae","","N66551",80.489157,"N66551",80.489157,1,1,"Petermannia_cirrosa"
"F","Phellinaceae","","N7232",31.429434,"N7232",31.429434,1,1,"Phelline_lucida"
"F","Philesiaceae","","N66425",43.219279,"N66425",43.219279,1,1,"Philesia_magellanica"
"F","Physenaceae","","N27756",42.059095,"N27756",42.059095,1,1,"Physena_madagascariensis"
"F","Plagiogyriaceae","","N72374",60.015,"N72374",60.015,1,1,"Plagiogyria_adnata"
"F","Plocospermataceae","","N11073",77.046544,"N11073",77.046544,1,1,"Plocosperma_buxifolium"
"F","Quillajaceae","","N28905",98.697731,"N28905",98.697731,1,1,"Quillaja_saponaria"
"F","Rafflesiaceae","","N39262",73.23079424,"N39262",73.23079424,1,1,"Rafflesia_arnoldii"
"F","Rhachidosoraceae","","N72161",88.634057,"N72161",88.634057,1,1,"Rhachidosorus_blotianus"
"F","Roridulaceae","","N22566",84.813948,"N22566",84.813948,1,1,"Roridula_gorgonias"
"F","Sarcobataceae","","N26505",58.902648,"N26505",58.902648,1,1,"Sarcobatus_vermiculatus"
"F","Scheuchzeriaceae","","N68573",79.586196,"N68573",79.586196,1,1,"Scheuchzeria_palustris"
"F","Sciadopityaceae","","N71391",90.530317,"N71391",90.530317,1,1,"Sciadopitys_verticillata"
"F","Setchellanthaceae","","N42135",72.30803564,"N42135",72.30803564,1,1,"Setchellanthus_caeruleus"
"F","Simmondsiaceae","","N25049",100.872917,"N25049",100.872917,1,1,"Simmondsia_chinensis"
"F","Sphaerosepalaceae","","N44458",50.773858,"N44458",50.773858,1,1,"Rhopalocarpus_lucidus"
"F","Sphenocleaceae","","N20996",56.546553,"N20996",56.546553,1,1,"Sphenoclea_zeylanica"
"F","Tetracarpaeaceae","","N49766",78.7500814,"N49766",78.7500814,1,1,"Tetracarpaea_tasmanica"
"F","Tetrameristaceae","","N24631",50.464198,"N24631",50.464198,1,1,"Pelliciera_rhizophoreae"
"F","Thyrsopteridaceae","","N72353",101.3861979,"N72353",101.3861979,1,1,"Thyrsopteris_elegans"
"F","Ticodendraceae","","N36434",78.445343,"N36434",78.445343,1,1,"Ticodendron_incognitum"
"F","Tiganophytaceae","","N43819",41.135457,"N43819",41.135457,1,1,"Tiganophyton_karasense"
"F","Tovariaceae","","N42139",59.465766,"N42139",59.465766,1,1,"Tovaria_pendula"
"F","Trimeniaceae","","N71135",109.732958,"N71135",109.732958,1,1,"Trimenia_moorei"
"F","Triuridaceae","","N67064",72.300021,"N67064",72.300021,1,1,"Sciaphila_sp._Dransfield_7345"
"F","Tropaeolaceae","","N43853",71.109081,"N43853",71.109081,1,1,"Tropaeolum_majus"
"F","Welwitschiaceae","","N71980",239.306959,"N71980",239.306959,1,1,"Welwitschia_mirabilis"
"F","Woodsiaceae","","N72134",44.68053047,"N72134",44.68053047,1,1,"Woodsia_ilvensis"
"F","Xeronemataceae","","N57832",73.723171,"N57832",73.723171,1,1,"Xeronema_callistemon"
"F","Acanthaceae","","N7",135.912186,"N8",135.758065,91,402,""
"F","Achariaceae","","N38460",90.000814,"N38738",64.938055,12,12,""
"F","Achatocarpaceae","","N27248",64.156251,"N27753",4.243288,2,2,""
"F","Acoraceae","","N53442",133.234403,"N68853",30.000014,1,2,""
"F","Actinidiaceae","","N22566",84.813947,"N22567",35.337748,3,71,""
"F","Adoxaceae","","N10257",70.937964,"N10689",58.853281,5,155,""
"F","Aizoaceae","","N26101",74.8761560000001,"N26102",67.888952,112,334,""
"F","Akaniaceae","","N43853",71.10908,"N43854",16.632137,2,2,""
"F","Alismataceae","","N68712",72.05475,"N68713",40.17413,16,71,""
"F","Alseuosmiaceae","","N7227",53.5013340000001,"N7228",18.601513,2,5,""
"F","Alstroemeriaceae","","N66552",59.124946,"N66786",49.702696,4,125,""
"F","Altingiaceae","","N50542",92.66589,"N50543",24.232851,2,16,""
"F","Amaranthaceae","","N25052",89.494053,"N25053",87.850604,123,506,""
"F","Amaryllidaceae","","N57834",62.493369,"N58325",55.210015,54,412,""
"F","Anacampserotaceae","","N25061",28.098948,"N25951",19.437466,3,12,""
"F","Anacardiaceae","","N44580",83.3502210000001,"N44581",79.918341,70,221,""
"F","Ancistrocladaceae","","N28377",36.156438,"N28378",3.801979,1,16,""
"F","Anisophylleaceae","","N35263",64.6046040000001,"N36414",34.275261,4,16,""
"F","Annonaceae","","N6",137.694122,"N7",135.912187,101,971,""
"F","Aphanopetalaceae","","N49765",83.590833,"N49882",12.222594,1,2,""
