"level","family","genus","rn","rn.bl","bn","bn.bl","gen.n","sp.n","taxa"
"F","Asteraceae","","N30",49.3379190000001,"N31",45.259635,692,4555,""
"F","Calyceraceae","","N30",49.3379190000001,"N7075",12.95581,6,32,""
"F","Goodeniaceae","","N29",57.0490100000001,"N7106",32.693249,10,168,""
"F","Menyanthaceae","","N28",68.2693490000001,"N7273",39.258343,6,50,""
"F","Alseuosmiaceae","","N7322",53.5013340000001,"N7323",18.601513,2,5,""
"F","Stylidiaceae","","N7327",31.4294330000001,"N7328",6.095974,1,2,""
"F","Phellinaceae","","N7327",31.429434,"N7327",31.429434,1,1,"Phelline_lucida"
"F","Pentaphragmataceae","","N26",78.113244,"N26",78.113244,1,1,"Pentaphragma_ellipticum"
"F","Campanulaceae","","N7330",64.918189,"N7331",45.59007,49,395,""
"F","Argophyllaceae","","N7330",64.918189,"N7725",0.143906,1,3,""
"F","Rousseaceae","","N7329",76.045419,"N7727",62.405205,3,4,""
"F","Escalloniaceae","","N24",92.731636,"N7730",91.731637,4,37,""
"F","Apiaceae","","N7774",58.0018380000001,"N7775",55.977161,355,2005,""
"F","Myodocarpaceae","","N7774",58.0018380000001,"N9780",28.298893,2,16,""
"F","Araliaceae","","N7773",60.1881650000001,"N9795",39.744574,36,527,""
"F","Pittosporaceae","","N7772",63.3691980000001,"N10321",19.120713,9,71,""
"F","Griseliniaceae","","N7771",70.5320240000001,"N10391",15.258439,1,7,""
"F","Torricelliaceae","","N7768",80.8139600000001,"N7769",75.519578,3,7,""
"F","Pennantiaceae","","N7768",80.8139600000001,"N10402",21.674377,1,4,""
"F","Caprifoliaceae","","N10406",70.937964,"N10407",52.598461,34,441,""
"F","Adoxaceae","","N10406",70.937964,"N10847",58.853281,4,158,""
"F","Paracryphiaceae","","N10405",81.84543,"N11004",53.102229,3,6,""
"F","Bruniaceae","","N11009",78.2673270000001,"N11010",45.457636,6,65,""
"F","Columelliaceae","","N11009",78.2673270000001,"N11074",33.569398,2,2,""
"F","Aquifoliaceae","","N11076",64.172058,"N11077",43.189173,1,139,""
"F","Phyllonomaceae","","N11215",56.5475280000001,"N11216",56.395313,1,2,""
"F","Helwingiaceae","","N11215",56.5475280000001,"N11217",0.36632,1,2,""
"F","Stemonuraceae","","N11218",74.1423150000001,"N11219",25.301726,5,8,""
"F","Cardiopteridaceae","","N11218",74.1423150000001,"N11226",65.850194,4,7,""
"F","Lamiaceae","","N11247",40.2889350000001,"N11248",34.280418,152,1282,""
