"level","family","genus","rn","rn.bl","bn","bn.bl","gen.n","sp.n","taxa"
"F","Symplocaceae","","N22651",81.185233,"N22652",23.55315,2,110,""
"F","Styracaceae","","N22761",52.698956,"N22762",40.989395,11,74,""
"F","Diapensiaceae","","N22761",52.698956,"N22835",28.060924,6,10,""
"F","Primulaceae","","N22846",86.954597,"N22847",60.724955,29,545,""
"F","Ebenaceae","","N23391",72.509316,"N23392",38.375272,3,145,""
"F","Lecythidaceae","","N23391",72.509316,"N23536",51.70684,16,85,""
"F","Sapotaceae","","N23620",61.911798,"N23621",38.990202,57,520,""
"F","Theaceae","","N24143",11.677035,"N24144",10.686059,2,79,""
"F","Polemoniaceae","","N24264",82.989863,"N24265",40.503298,27,295,""
"F","Fouquieriaceae","","N24264",82.989863,"N24559",7.855884,1,3,""
"F","Pentaphylacaceae","","N24561",75.9001030000001,"N24562",56.997294,10,67,""
"F","Sladeniaceae","","N24561",75.9001030000001,"N24628",0.021648,1,2,""
"F","Balsaminaceae","","N24631",50.464197,"N24632",31.346522,1,112,""
"F","Tetrameristaceae","","N24631",50.464198,"N24631",50.464198,1,1,"Pelliciera_rhizophoreae"
"F","Marcgraviaceae","","N24630",55.438111,"N24743",10.388155,7,9,""
"F","Mitrastemonaceae","","N24629",102.1271935,"N24629",102.1271935,1,1,"Mitrastemon_matudae"
"F","Hydrangeaceae","","N24753",90.521393,"N24754",52.077031,8,124,""
"F","Loasaceae","","N24753",90.521393,"N24877",53.905644,21,101,""
"F","Cornaceae","","N24978",84.52029,"N24979",68.009028,2,49,""
"F","Grubbiaceae","","N25027",59.39759,"N25028",16.176801,1,2,""
"F","Curtisiaceae","","N25027",59.397591,"N25027",59.397591,1,1,"Curtisia_dentata"
"F","Nyssaceae","","N24977",92.601335,"N25029",71.122818,5,13,""
"F","Hydrostachyaceae","","N24751",104.059671,"N25041",41.868098,1,6,""
"F","Cactaceae","","N25061",28.098948,"N25062",21.569185,125,890,""
"F","Anacampserotaceae","","N25061",28.098948,"N25951",19.437466,3,12,""
"F","Portulacaceae","","N25060",28.803167,"N25962",11.61002,1,8,""
"F","Talinaceae","","N25059",33.316681,"N25969",15.841256,2,7,""
"F","Didiereaceae","","N25976",36.7821480000001,"N25977",30.128207,6,14,""
"F","Basellaceae","","N25976",36.7821480000001,"N25990",18.485663,3,6,""
"F","Halophytaceae","","N25975",38.133667,"N25975",38.133667,1,1,"Halophytum_ameghinoi"
"F","Montiaceae","","N25057",42.80452,"N25995",28.035376,11,69,""
"F","Molluginaceae","","N25056",73.108787,"N26063",69.466981,11,36,""
"F","Aizoaceae","","N26102",67.8889510000001,"N26103",60.423365,108,311,""
"F","Nyctaginaceae","","N26437",71.4408140000001,"N26438",56.079878,22,67,""
"F","Petiveriaceae","","N26505",58.9026470000001,"N26506",33.96882,7,8,""
"F","Sarcobataceae","","N26505",58.902648,"N26505",58.902648,1,1,"Sarcobatus_vermiculatus"
"F","Phytolaccaceae","","N26504",70.3333230000001,"N26513",18.968769,2,4,""
"F","Gisekiaceae","","N26436",73.6983270000001,"N26516",3.361668,1,2,""
"F","Barbeuiaceae","","N26100",77.761794,"N26100",77.761794,1,1,"Barbeuia_madagascariensis"
"F","Kewaceae","","N26099",77.765313,"N26099",77.765313,1,1,"Kewa_salsoloides"
"F","Lophiocarpaceae","","N26098",79.558568,"N26517",50.111815,2,2,""
"F","Limeaceae","","N25054",85.044078,"N26518",16.161779,1,6,""
"F","Caryophyllaceae","","N26525",62.727645,"N26526",58.881632,49,688,""
"F","Amaranthaceae","","N27248",64.156251,"N27249",43.661326,123,505,""
"F","Achatocarpaceae","","N27248",64.156251,"N27753",4.243288,2,2,""
"F","Macarthuriaceae","","N26523",80.686585,"N26523",80.686585,1,1,"Macarthuria_australis"
"F","Stegnospermataceae","","N25052",89.494053,"N27754",0.933724,1,2,""
"F","Microteaceae","","N25051",90.43946,"N27755",44.867671,1,2,""
"F","Asteropeiaceae","","N27756",42.059095,"N27756",42.059095,1,1,"Asteropeia_micraster"
"F","Physenaceae","","N27756",42.059095,"N27756",42.059095,1,1,"Physena_madagascariensis"
"F","Simmondsiaceae","","N25049",100.872917,"N25049",100.872917,1,1,"Simmondsia_chinensis"
"F","Rhabdodendraceae","","N25048",103.945355,"N27757",4.377466,1,2,""
"F","Polygonaceae","","N27760",67.902135,"N27761",44.486147,40,377,""
"F","Plumbaginaceae","","N27760",67.902135,"N28137",41.678471,14,92,""
"F","Tamaricaceae","","N28228",53.827173,"N28229",29.822659,5,41,""
"F","Frankeniaceae","","N28228",53.827173,"N28269",12.807299,1,10,""
"F","Nepenthaceae","","N28279",78.324328,"N28280",25.701614,1,97,""
"F","Ancistrocladaceae","","N28377",36.156438,"N28378",3.801979,1,16,""
"F","Dioncophyllaceae","","N28377",36.156438,"N28393",7.116841,2,2,""
"F","Drosophyllaceae","","N28376",57.934633,"N28376",57.934633,1,1,"Drosophyllum_lusitanicum"
"F","Droseraceae","","N28278",82.989448,"N28394",63.040034,3,69,""
"F","Berberidopsidaceae","","N28462",27.131623,"N28463",18.087757,2,4,""
"F","Aextoxicaceae","","N28462",27.131624,"N28462",27.131624,1,1,"Aextoxicon_punctatum"
"F","Loranthaceae","","N28471",67.874275,"N28472",47.424043,59,142,""
"F","Schoepfiaceae","","N28613",58.013716,"N28614",45.395446,3,7,""
"F","Misodendraceae","","N28613",58.013716,"N28620",30.618825,1,7,""
"F","Santalaceae","","N28627",79.932368,"N28628",77.450944,28,99,""
"F","Balanophoraceae","","N28727",79.377285,"N28728",75.455052,9,14,""
"F","Opiliaceae","","N28626",80.620127,"N28750",28.745898,8,11,""
"F","Olacaceae","","N17",121.384664,"N28465",103.583939,27,57,""
"F","Dilleniaceae","","N16",122.581027,"N28812",50.834088,10,88,""
"F","Fabaceae","","N28906",96.074912,"N28907",84.763338,603,4152,""
"F","Polygalaceae","","N33058",93.2666120000001,"N33059",59.789493,21,116,""
"F","Surianaceae","","N33058",93.2666120000001,"N33174",47.547273,4,4,""
"F","Quillajaceae","","N28905",98.697731,"N28905",98.697731,1,1,"Quillaja_saponaria"
"F","Rosaceae","","N33179",98.9617950000001,"N33180",94.56118,102,1132,""
"F","Moraceae","","N34314",68.5124490000001,"N34315",42.463897,32,381,""
"F","Urticaceae","","N34314",68.5124490000001,"N34695",46.699105,47,285,""
"F","Cannabaceae","","N34313",73.4691340000001,"N34979",71.185296,8,41,""
"F","Ulmaceae","","N34312",79.1706410000001,"N35019",74.170954,8,27,""
"F","Rhamnaceae","","N35045",75.6086510000001,"N35046",51.398492,49,202,""
"F","Elaeagnaceae","","N35247",65.2207290000001,"N35248",24.330414,3,14,""
"F","Barbeyaceae","","N35261",60.831944,"N35261",60.831944,1,1,"Barbeya_oleoides"
"F","Dirachmaceae","","N35261",60.831944,"N35261",60.831944,1,1,"Dirachma_socotrana"
"F","Cynomoriaceae","","N33178",105.0549,"N33178",105.0549,1,1,"Cynomorium_coccineum"
"F","Cucurbitaceae","","N35264",61.9268910000001,"N35265",35.525548,49,340,""
"F","Begoniaceae","","N35880",45.4160940000001,"N35881",31.890679,3,517,""
"F","Datiscaceae","","N36397",41.4091960000001,"N36398",12.856999,1,2,""
"F","Tetramelaceae","","N36397",41.4091960000001,"N36399",16.190724,2,2,""
"F","Coriariaceae","","N36400",46.2445250000001,"N36401",11.835823,1,9,""
"F","Corynocarpaceae","","N36409",45.2445250000001,"N36410",10.424956,1,5,""
"F","Apodanthaceae","","N36409",45.244526,"N36409",45.244526,1,1,"Apodanthes_caseariae"
"F","Anisophylleaceae","","N35263",64.6046040000001,"N36414",34.275261,4,16,""
"F","Betulaceae","","N36434",78.445342,"N36435",68.275449,6,85,""
"F","Ticodendraceae","","N36434",78.445343,"N36434",78.445343,1,1,"Ticodendron_incognitum"
