"level","family","genus","rn","rn.bl","bn","bn.bl","gen.n","sp.n","taxa"
"F","Aextoxicaceae","","N28615",27.131624,"N28615",27.131624,1,1,"Aextoxicon_punctatum"
"F","Alzateaceae","","N47331",30.887811,"N47331",30.887811,1,1,"Alzatea_verticillata"
"F","Amborellaceae","","N4",139.395598,"N4",139.395598,1,1,"Amborella_trichopoda"
"F","Anemiaceae","","N72843",76.461114,"N72843",76.461114,1,1,"Anemia_phyllitidis"
"F","Aphloiaceae","","N46151",69.673651,"N46151",69.673651,1,1,"Aphloia_theiformis"
"F","Apodanthaceae","","N36591",45.244526,"N36591",45.244526,1,1,"Apodanthes_caseariae"
"F","Asteropeiaceae","","N27911",42.059095,"N27911",42.059095,1,1,"Asteropeia_micraster"
"F","Austrobaileyaceae","","N71534",122.61422,"N71534",122.61422,1,1,"Austrobaileya_scandens"
"F","Barbeuiaceae","","N26231",77.761794,"N26231",77.761794,1,1,"Barbeuia_madagascariensis"
"F","Barbeyaceae","","N35445",60.831944,"N35445",60.831944,1,1,"Barbeya_oleoides"
"F","Bataceae","","N44041",32.635457,"N44041",32.635457,1,1,"Batis_maritima"
"F","Butomaceae","","N69176",63.678972,"N69176",63.678972,1,1,"Butomus_umbellatus"
"F","Cephalotaceae","","N41673",75.577737,"N41673",75.577737,1,1,"Cephalotus_follicularis"
"F","Circaeasteraceae","","N53417",86.334794,"N53417",86.334794,1,1,"Kingdonia_uniflora"
"F","Corsiaceae","","N67443",84.269335,"N67443",84.269335,1,1,"Corsia_dispar"
"F","Ctenolophonaceae","","N39307",87.549135,"N39307",87.549135,1,1,"Ctenolophon_englerianus"
"F","Culcitaceae","","N72819",60.015,"N72819",60.015,1,1,"Culcita_coniifolia"
"F","Curtisiaceae","","N25144",59.397591,"N25144",59.397591,1,1,"Curtisia_dentata"
"F","Cynomoriaceae","","N33354",105.0549,"N33354",105.0549,1,1,"Cynomorium_coccineum"
"F","Cytinaceae","","N44595",38.58316,"N44595",38.58316,1,1,"Cytinus_baronii"
"F","Davalliaceae","","N72574",24.43379871,"N72574",24.43379871,1,1,"Davallia_solida"
"F","Dipteridaceae","","N72883",118.5451428,"N72883",118.5451428,1,1,"Dipteris_conjugata"
"F","Dirachmaceae","","N35445",60.831944,"N35445",60.831944,1,1,"Dirachma_socotrana"
"F","Drosophyllaceae","","N28527",57.934633,"N28527",57.934633,1,1,"Drosophyllum_lusitanicum"
"F","Emblingiaceae","","N42354",63.503418,"N42354",63.503418,1,1,"Emblingia_calceoliflora"
"F","Eucommiaceae","","N21134",43.547103,"N21134",43.547103,1,1,"Eucommia_ulmoides"
"F","Euphroniaceae","","N39359",54.515819,"N39359",54.515819,1,1,"Euphronia_guianensis"
"F","Geissolomataceae","","N46152",51.634151,"N46152",51.634151,1,1,"Geissoloma_marginatum"
"F","Gerrardinaceae","","N44799",57.271231,"N44799",57.271231,1,1,"Gerrardina_foliosa"
"F","Ginkgoaceae","","N72176",269.71475,"N72176",269.71475,1,1,"Ginkgo_biloba"
"F","Gomortegaceae","","N70895",78.376352,"N70895",78.376352,1,1,"Gomortega_keule"
"F","Goupiaceae","","N38648",83.071322,"N38648",83.071322,1,1,"Goupia_glabra"
"F","Guamatelaceae","","N46146",25.806242,"N46146",25.806242,1,1,"Guamatela_tuerckheimii"
"F","Halophytaceae","","N26104",38.133667,"N26104",38.133667,1,1,"Halophytum_ameghinoi"
"F","Himantandraceae","","N70278",95.087155,"N70278",95.087155,1,1,"Galbulimima_belgraveana"
"F","Hypodematiaceae","","N72465",67.23728,"N72465",67.23728,1,1,"Hypodematium_crenatum"
"F","Kewaceae","","N26230",77.765313,"N26230",77.765313,1,1,"Kewa_salsoloides"
"F","Koeberliniaceae","","N44039",57.819717,"N44039",57.819717,1,1,"Koeberlinia_spinosa"
"F","Lanariaceae","","N60263",59.378075,"N60263",59.378075,1,1,"Lanaria_lanata"
