"level","family","genus","rn","rn.bl","bn","bn.bl","gen.n","sp.n","taxa"
"F","Quillajaceae","","N29223",98.697731,"N29223",98.697731,1,1,"Quillaja_saponaria"
"F","Rafflesiaceae","","N39672",73.23079424,"N39672",73.23079424,1,1,"Rafflesia_arnoldii"
"F","Rhachidosoraceae","","N73006",88.634057,"N73006",88.634057,1,1,"Rhachidosorus_blotianus"
"F","Roridulaceae","","N22791",84.813948,"N22791",84.813948,1,1,"Roridula_gorgonias"
"F","Sarcobataceae","","N26809",58.902648,"N26809",58.902648,1,1,"Sarcobatus_vermiculatus"
"F","Scheuchzeriaceae","","N69339",79.586196,"N69339",79.586196,1,1,"Scheuchzeria_palustris"
"F","Sciadopityaceae","","N72199",90.530317,"N72199",90.530317,1,1,"Sciadopitys_verticillata"
"F","Setchellanthaceae","","N42563",72.30803564,"N42563",72.30803564,1,1,"Setchellanthus_caeruleus"
"F","Simmondsiaceae","","N25312",100.872917,"N25312",100.872917,1,1,"Simmondsia_chinensis"
"F","Sphaerosepalaceae","","N44904",50.773858,"N44904",50.773858,1,1,"Rhopalocarpus_lucidus"
"F","Sphenocleaceae","","N21219",56.546553,"N21219",56.546553,1,1,"Sphenoclea_zeylanica"
"F","Tetracarpaeaceae","","N50236",78.7500814,"N50236",78.7500814,1,1,"Tetracarpaea_tasmanica"
"F","Tetrameristaceae","","N24889",50.464198,"N24889",50.464198,1,1,"Pelliciera_rhizophorae"
"F","Thyrsopteridaceae","","N73200",101.3861979,"N73200",101.3861979,1,1,"Thyrsopteris_elegans"
"F","Ticodendraceae","","N36816",78.445343,"N36816",78.445343,1,1,"Ticodendron_incognitum"
"F","Tiganophytaceae","","N44263",41.135457,"N44263",41.135457,1,1,"Tiganophyton_karasense"
"F","Tovariaceae","","N42567",59.465766,"N42567",59.465766,1,1,"Tovaria_pendula"
"F","Trimeniaceae","","N71938",109.732958,"N71938",109.732958,1,1,"Trimenia_moorei"
"F","Triuridaceae","","N67810",72.300021,"N67810",72.300021,1,1,"Sciaphila_sp._Dransfield_7345"
"F","Tropaeolaceae","","N44297",71.109081,"N44297",71.109081,1,1,"Tropaeolum_majus"
"F","Welwitschiaceae","","N72824",239.306959,"N72824",239.306959,1,1,"Welwitschia_mirabilis"
"F","Woodsiaceae","","N72979",44.68053047,"N72979",44.68053047,1,1,"Woodsia_ilvensis"
"F","Xeronemataceae","","N58423",73.723171,"N58423",73.723171,1,1,"Xeronema_callistemon"
